Name;Parent;Level;Occurance;Type;Min;Max;Description
ARTMAS09;;0;1;Complex;;;Criar e modificar dados mestre de materiais (comércio)
IDOC;ARTMAS09;1;1;Complex;;;null
EDI_DC40;IDOC;2;1;Complex;;;Registro de controle IDoc p/interfaces c/um sistema externo
TABNAM;EDI_DC40;3;1;null;;;Nome da estrutura de tabela
MANDT;EDI_DC40;3;0..1;String;;3;Mandante
DOCNUM;EDI_DC40;3;0..1;String;;16;Nº do IDoc
DOCREL;EDI_DC40;3;0..1;String;;4;Release SAP do IDoc
STATUS;EDI_DC40;3;0..1;String;;2;Status do IDoc
DIRECT;EDI_DC40;3;1;String;;;Direção
OUTMOD;EDI_DC40;3;0..1;String;;1;Modo de saída
EXPRSS;EDI_DC40;3;0..1;String;;1;Substituição na entrada
TEST;EDI_DC40;3;0..1;String;;1;Código de teste
IDOCTYP;EDI_DC40;3;1;null;;;Nome do tipo básico
CIMTYP;EDI_DC40;3;0..1;null;;;Ampliação (definida pelo cliente)
MESTYP;EDI_DC40;3;0..1;String;;30;Tipo de mensagem
MESCOD;EDI_DC40;3;0..1;String;;3;Variante de mensagem
MESFCT;EDI_DC40;3;0..1;String;;3;Função da mensagem
STD;EDI_DC40;3;0..1;String;;1;Standard EDI, código
STDVRS;EDI_DC40;3;0..1;String;;6;Standard EDI, versão e release
STDMES;EDI_DC40;3;0..1;String;;6;Tipo de mensagem EDI
SNDPOR;EDI_DC40;3;1;String;;10;Porta do remetente (sistema SAP, subsistema externo)
SNDPRT;EDI_DC40;3;1;String;;2;Tipo de parceiro do remetente
SNDPFC;EDI_DC40;3;0..1;String;;2;Função do parceiro do remetente
SNDPRN;EDI_DC40;3;1;String;;10;Nº de parceiro do remetente
SNDSAD;EDI_DC40;3;0..1;String;;21;Endereço do remetente (SADR)
SNDLAD;EDI_DC40;3;0..1;String;;70;Endereço lógico de remetente
RCVPOR;EDI_DC40;3;1;String;;10;Porta do destinatário
RCVPRT;EDI_DC40;3;0..1;String;;2;Tipo de parceiro do destinatário
RCVPFC;EDI_DC40;3;0..1;String;;2;Função do parceiro do destinatário
RCVPRN;EDI_DC40;3;1;String;;10;Nº parceiro do destinatário
RCVSAD;EDI_DC40;3;0..1;String;;21;Endereço do destinatário (SADR)
RCVLAD;EDI_DC40;3;0..1;String;;70;Endereço lógico do destinatário
CREDAT;EDI_DC40;3;0..1;String;;8;Data de criação
CRETIM;EDI_DC40;3;0..1;String;;6;Hora da criação
REFINT;EDI_DC40;3;0..1;String;;14;File de transferência (EDI Interchange)
REFGRP;EDI_DC40;3;0..1;String;;14;Grupo de mensagens (EDI Message Group)
REFMES;EDI_DC40;3;0..1;String;;14;Mensagem (EDI Message)
ARCKEY;EDI_DC40;3;0..1;String;;70;Chave do arquivo de mensagens externo
SERIAL;EDI_DC40;3;0..1;String;;20;Seriação
E1BPE1MATHEAD;IDOC;2;0..1;Complex;;;Transf.dados varejo - segmento cabeçalho com info controle
FUNCTION;E1BPE1MATHEAD;3;0..1;String;;3;Função
MATERIAL;E1BPE1MATHEAD;3;0..1;String;;18;Nº do material
MATL_TYPE;E1BPE1MATHEAD;3;0..1;String;;4;Tipo de material
MATL_GROUP;E1BPE1MATHEAD;3;0..1;String;;9;Grupo de mercadorias
MATL_CAT;E1BPE1MATHEAD;3;0..1;String;;2;Ctg.material
CHAR_PROF;E1BPE1MATHEAD;3;0..1;String;;18;Perfil da característica
REF_MATL;E1BPE1MATHEAD;3;0..1;String;;18;Material-modelo
BASIC_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "dados básicos"
LIST_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "catalogação"
SALES_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "vendas"
LOGDC_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "logística centro de distribuição"
LOGST_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "logística filial"
POS_VIEW;E1BPE1MATHEAD;3;0..1;String;;1;Código: considerar visão "POS"
CK_NO_RNGE;E1BPE1MATHEAD;3;0..1;String;;1;Código: verificar nº ext.material em relação a interv.numer.
ALL_FIELDS;E1BPE1MATHEAD;3;0..1;String;;1;Código: todos os campos de dados úteis relevantes p/modif.
NO_APPL_LOG;E1BPE1MATHEAD;3;0..1;String;;1;Não escrever log de aplicação
